# Δφ_min calculated using parity operator and numerical Heisenberg method
# |ψ_in_1> = |0>|α>
# |ψ_in_2> = |β>|β>
# ------------------------------------------------------------------------------------------------
# alpha      Δφ_min_1                       beta       Δφ_min_2                      
  2.00000000 inf                            1.41421356 154119607492.3323059082031250000000000
  2.50000000 484895.5192054155049845576286316 1.76776695 124278036999.7494812011718750000000000
  3.00000000 669049.8706419853260740637779236 2.12132034 136393165733.7427978515625000000000000
  3.50000000 485193.4453820665366947650909424 2.47487373 82288178971.8468475341796875000000000
  4.00000000 579301.9847270649624988436698914 2.82842712 85163684814.9181213378906250000000000
  4.50000000 24203.5866313117476238403469324 3.18198052 67496217256.9185180664062500000000000
  5.00000000 27334.8631138098426163196563721 3.53553391 4218351169.4819202423095703125000000
  5.50000000 89216.9355284849589224904775620 3.88908730 1023873356.1832057237625122070312500
  6.00000000 168638.3599436889635398983955383 4.24264069 16683144.6450985241681337356567383
  6.50000000 259097.9820107062114402651786804 4.59619408 133070.1633005189942196011543274
